* LOGI *
0.967 - 17:07:37.331685
0.967 - 17:07:39.324377
0.967 - 17:07:41.458228
0.967 - 17:07:43.326507
0.967 - 17:07:45.328272
0.967 - 17:07:47.457507
0.967 - 17:07:49.334843
0.966 - 17:07:53.013379
0.966 - 17:07:53.335137
0.966 - 17:07:55.335370
0.966 - 17:07:57.336488
0.966 - 17:07:59.340215
0.966 - 17:08:01.340221
0.966 - 17:08:03.340902
0.966 - 17:08:05.342581
0.966 - 17:08:07.344270
0.966 - 17:08:09.348346
0.966 - 17:08:11.347022
0.966 - 17:08:13.347622
0.966 - 17:08:15.349191
0.966 - 17:08:17.350459
0.966 - 17:08:19.351531
0.966 - 17:08:21.353359
0.966 - 17:08:24.447680
0.966 - 17:08:25.356939
0.966 - 17:08:27.356982
0.966 - 17:08:29.358944
0.966 - 17:08:31.360113
0.966 - 17:08:33.361086
0.966 - 17:08:35.859208
0.966 - 17:08:37.365845
0.966 - 17:08:39.366213
0.966 - 17:08:41.369069
0.966 - 17:08:43.368353
0.966 - 17:08:45.384737
0.966 - 17:08:47.372192
0.966 - 17:08:49.374797
0.966 - 17:08:51.374241
0.967 - 17:08:55.047126
0.967 - 17:08:55.377458
0.967 - 17:08:57.379319
0.967 - 17:08:59.456065
0.967 - 17:09:01.382080
0.967 - 17:09:03.387551
0.967 - 17:09:05.463963
0.967 - 17:09:07.385746
0.967 - 17:09:09.389241
0.967 - 17:09:12.034009
0.967 - 17:09:13.391166
0.967 - 17:09:15.389511
0.967 - 17:09:17.391903
0.967 - 17:09:19.393332
0.967 - 17:09:21.394337
0.967 - 17:09:23.395983
0.967 - 17:09:25.397406
0.967 - 17:09:27.398510
0.967 - 17:09:29.400983
0.967 - 17:09:31.401386
0.967 - 17:09:33.403510
0.967 - 17:09:35.456255
0.967 - 17:09:37.406571
0.967 - 17:09:39.407484
0.967 - 17:09:41.916995
0.967 - 17:09:43.410452
0.967 - 17:09:45.412035
0.967 - 17:09:47.413385
0.967 - 17:09:49.414846
0.967 - 17:09:51.416488
0.967 - 17:09:53.420591
0.967 - 17:09:57.092515
0.967 - 17:09:57.420549
0.967 - 17:09:59.421454
0.967 - 17:10:01.424827
0.967 - 17:10:03.425910
0.967 - 17:10:05.427535
0.967 - 17:10:07.429061
0.967 - 17:10:09.471405
0.967 - 17:10:11.458340
0.967 - 17:10:13.436349
0.967 - 17:10:15.434936
0.967 - 17:10:17.458180
0.967 - 17:10:19.437867
0.967 - 17:10:21.439267
0.967 - 17:10:23.458071
0.967 - 17:10:25.464261
0.967 - 17:10:27.462431
0.967 - 17:10:29.472099
0.967 - 17:10:31.473585
0.967 - 17:10:34.923536
0.967 - 17:10:35.475439
0.967 - 17:10:37.476571
0.967 - 17:10:39.477413
0.967 - 17:10:41.480537
0.967 - 17:10:43.481103
0.967 - 17:10:45.484444
0.967 - 17:10:48.206477
0.967 - 17:10:49.488196
0.967 - 17:10:51.487380
0.967 - 17:10:53.858725
0.967 - 17:10:55.490169
0.967 - 17:10:59.165869
0.967 - 17:11:03.940633
0.967 - 17:11:03.939506
0.967 - 17:11:03.942041
0.967 - 17:11:05.494831
0.967 - 17:11:07.496474
0.967 - 17:11:09.499885
0.967 - 17:11:11.927077
0.967 - 17:11:13.501322
0.967 - 17:11:15.502046
0.967 - 17:11:17.503271
0.967 - 17:11:19.504940
0.967 - 17:11:21.506863
0.967 - 17:11:23.506787
0.967 - 17:11:25.509268
0.967 - 17:11:27.508408
0.967 - 17:11:29.509181
0.967 - 17:11:31.509242
0.967 - 17:11:33.511257
0.967 - 17:11:35.512556
0.967 - 17:11:37.515408
0.967 - 17:11:39.514719
0.967 - 17:11:41.988121
0.967 - 17:11:43.517319
0.967 - 17:11:45.519159
0.967 - 17:11:47.520379
0.967 - 17:11:49.521886
0.967 - 17:11:51.524936
0.967 - 17:11:53.526464
0.967 - 17:11:55.528134
0.967 - 17:11:57.528041
0.968 - 17:12:01.204164
0.968 - 17:12:01.533965
0.968 - 17:12:03.531019
0.968 - 17:12:05.540563
0.968 - 17:12:07.534091
0.968 - 17:12:09.535213
0.968 - 17:12:11.536337
0.968 - 17:12:13.538062
0.968 - 17:12:15.539866
0.968 - 17:12:17.540610
0.968 - 17:12:19.542611
0.968 - 17:12:21.543938
0.968 - 17:12:23.545718
0.968 - 17:12:25.549684
0.968 - 17:12:27.564752
0.968 - 17:12:29.566700
0.968 - 17:12:31.570732
0.968 - 17:12:33.575027
0.968 - 17:12:35.587438
0.968 - 17:12:37.580315
0.968 - 17:12:39.585649
0.968 - 17:12:41.588805
0.968 - 17:12:43.590954
0.968 - 17:12:45.592814
0.968 - 17:12:47.593707
0.968 - 17:12:49.600325
0.968 - 17:12:51.595789
0.968 - 17:12:53.597980
0.968 - 17:12:55.600164
0.968 - 17:12:57.603182
0.968 - 17:12:59.602022
0.968 - 17:13:03.276358
0.968 - 17:13:03.605076
0.968 - 17:13:05.607193
0.968 - 17:13:07.613218
0.968 - 17:13:09.609830
0.968 - 17:13:11.611237
0.968 - 17:13:13.612482
0.968 - 17:13:15.613704
0.968 - 17:13:17.646961
0.968 - 17:13:19.632184
0.968 - 17:13:21.633538
0.968 - 17:13:23.637257
0.968 - 17:13:25.636071
0.968 - 17:13:27.636428
0.968 - 17:13:29.642847
0.968 - 17:13:31.640277
0.968 - 17:13:33.642388
0.968 - 17:13:35.644169
0.968 - 17:13:37.644367
0.968 - 17:13:39.646331
0.968 - 17:13:41.647079
0.968 - 17:13:43.648081
0.968 - 17:13:45.649398
0.968 - 17:13:47.651161
0.968 - 17:13:49.653012
0.968 - 17:13:51.653506
0.968 - 17:13:53.789892
0.968 - 17:13:55.657929
0.968 - 17:13:57.655823
0.968 - 17:13:59.657784
0.968 - 17:14:01.659993
0.967 - 17:14:05.317120
0.967 - 17:14:05.666270
0.967 - 17:14:07.664066
0.967 - 17:14:09.666510
0.967 - 17:14:11.667331
0.967 - 17:14:13.671836
0.967 - 17:14:15.669247
0.967 - 17:14:17.670275
0.967 - 17:14:19.673641
0.967 - 17:14:21.672418
0.967 - 17:14:23.679840
0.967 - 17:14:25.675650
0.967 - 17:14:27.676249
0.967 - 17:14:29.860888
0.967 - 17:14:31.678298
0.967 - 17:14:33.679930
0.967 - 17:14:35.682164
0.967 - 17:14:37.683065
0.967 - 17:14:39.687861
0.967 - 17:14:41.694305
0.967 - 17:14:43.685297
0.967 - 17:14:45.686874
